product_id,product_url,name,discount,discounted_price,original_price,total_reviews,product_info,availability
474844906,https://www.dresslily.com/christmas-printed-front-pocket-hoodie-product8370952.html,Christmas Printed Front Pocket Hoodie,37%,"27,26€","43,42€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Christmas Tree,Heart,Santa Claus,Stars "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,2
474844606,https://www.dresslily.com/kangaroo-pocket-christmas-santa-claus-product8370946.html,Kangaroo Pocket Christmas Santa Claus Print Hoodie,39%,"27,26€","44,66€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,5
475138801,https://www.dresslily.com/christmas-santa-claus-candy-pattern-product8371885.html,Christmas Santa Claus Candy Pattern Hoodie,45%,"27,26€","49,62€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day,Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Candy,Plant,Santa Claus "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4800kg "", ""Package Contents"": "" 1 x Hoodie """,2
474844506,https://www.dresslily.com/christmas-elk-snowflake-snowman-gift-product8371388.html,Christmas Elk Snowflake Snowman Gift Print Hoodie,35%,"27,26€","42,18€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Christmas Stocking,Christmas Tree,Elk,Snowflake,Snowman "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,2
475138304,https://www.dresslily.com/christmas-tree-dog-3d-print-product8371884.html,Christmas Tree Dog 3D Print Hoodie,39%,"27,26€","44,97€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day,Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Ball,Christmas Tree,Dog "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4800kg "", ""Package Contents"": "" 1 x Hoodie """,1
474845605,https://www.dresslily.com/christmas-santa-claus-drawstring-front-product8370957.html,Christmas Santa Claus Drawstring Front Pocket Hoodie,43%,"27,26€","47,45€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,1
471248804,https://www.dresslily.com/contrast-pigeons-print-front-pocket-product8352483.html,Contrast Pigeons Print Front Pocket Casual Hoodie,45%,"27,26€","49,99€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5900kg "", ""Package Contents"": "" 1 x Hoodie """,2
471247902,https://www.dresslily.com/fire-pattern-casual-pouch-pocket-product8352475.html,Fire Pattern Casual Pouch Pocket Hoodie,44%,"25,38€","45,59€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Print "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,4
471246505,https://www.dresslily.com/abstract-snakes-pattern-front-pocket-product8351848.html,Abstract Snakes Pattern Front Pocket Lounge Hoodie,39%,"27,26€","44,97€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal,Print "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,5
471254306,https://www.dresslily.com/flower-pattern-pullover-front-pocket-product8351867.html,Flower Pattern Pullover Front Pocket Hoodie,40%,"27,26€","45,40€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Floral "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5600kg "", ""Package Contents"": "" 1 x Hoodie """,2
